Attrition,BusinessTravel,Department,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,YearsSinceLastPromotion,Attrition_bin,OverTime_bin,BusinessTravel_ord
Yes,Travel_Rarely,Sales,2,3,2,4,5993,Yes,11,1,0,1,0,1,1,1
No,Travel_Frequently,Research & Development,3,2,2,2,5130,No,23,4,1,3,1,0,0,2
Yes,Travel_Rarely,Research & Development,4,2,1,3,2090,Yes,15,2,0,3,0,1,1,1
No,Travel_Frequently,Research & Development,4,3,1,3,2909,Yes,11,3,0,3,3,0,1,2
No,Travel_Rarely,Research & Development,1,3,1,2,3468,No,12,4,1,3,2,0,0,1
No,Travel_Frequently,Research & Development,4,3,1,4,3068,No,13,3,0,2,3,0,0,2
No,Travel_Rarely,Research & Development,3,4,1,1,2670,Yes,20,1,3,2,0,0,1,1
No,Travel_Rarely,Research & Development,4,3,1,3,2693,No,22,2,1,3,0,0,0,1
No,Travel_Frequently,Research & Development,4,2,3,3,9526,No,21,2,0,3,1,0,0,2
No,Travel_Rarely,Research & Development,3,3,2,3,5237,No,13,2,2,2,7,0,0,1
No,Travel_Rarely,Research & Development,1,4,1,2,2426,No,13,3,1,3,0,0,0,1
No,Travel_Rarely,Research & Development,4,2,2,3,4193,Yes,12,4,0,3,0,0,1,1
No,Travel_Rarely,Research & Development,1,3,1,3,2911,No,17,4,1,2,4,0,0,1
No,Travel_Rarely,Research & Development,2,3,1,4,2661,No,11,3,1,3,1,0,0,1
Yes,Travel_Rarely,Research & Development,3,2,1,3,2028,Yes,14,2,0,3,0,1,1,1
No,Travel_Rarely,Research & Development,2,4,3,1,9980,No,11,3,1,3,8,0,0,1
No,Travel_Rarely,Research & Development,1,4,1,2,3298,Yes,12,4,2,2,0,0,1,1
No,Non-Travel,Research & Development,4,4,1,4,2935,Yes,13,2,2,2,0,0,1,0
No,Travel_Rarely,Sales,1,2,4,4,15427,No,16,3,0,3,3,0,0,1
No,Travel_Rarely,Research & Development,4,3,1,4,3944,Yes,11,3,0,3,1,0,1,1
No,Non-Travel,Research & Development,1,4,2,3,4011,No,18,4,1,2,1,0,0,0
Yes,Travel_Rarely,Sales,3,2,1,1,3407,No,23,2,0,3,0,1,0,1
No,Travel_Rarely,Research & Development,1,3,3,2,11994,No,11,3,0,3,2,0,0,1
No,Travel_Rarely,Research & Development,3,3,1,4,1232,No,14,4,0,3,0,0,0,1
Yes,Travel_Rarely,Research & Development,2,3,1,1,2960,No,11,3,0,3,1,1,0,1
